,synthesis_time,mos_score,text_length,file_size_kb,rms
synthesis_time,1.0,0.2736076940177383,-0.05850490291872385,0.7779981277845839,0.26970068820905224
mos_score,0.2736076940177383,1.0,-0.22988192570139443,0.4959409261943601,0.21598500658907185
text_length,-0.05850490291872385,-0.22988192570139443,1.0,0.05539436272848989,-0.18425310147989826
file_size_kb,0.7779981277845839,0.4959409261943601,0.05539436272848989,1.0,0.22129864208423608
rms,0.26970068820905224,0.21598500658907185,-0.18425310147989826,0.22129864208423608,1.0
